name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
Passive Venting Hack,kheventhack,2,,KHM,"special, offensive, merc",Special,15000,,,,5,10,15,20,kheTechMod.combat.hullmods.VentHack,"Considered an offensive hack against a captain’s own ship, and recommended only slightly more than Safety Overrides, this modification replaces standard capacitors and active venting systems in favor of experimental, high-throughput hardware.
Flux dissipation is increased by %s, scaling with non-zero vent rate modifiers, but flux capacity is reduced by %s. However, the new systems are incompatible with ships equipped with phase or shield systems, and the new capacitors burn out quickly requiring %s supplies per month to keep the ship from burning out. Further, the Zero-Flux speed boost is out of the question, unless you want to lose your ship’s power systems entirely.","Disables venting, reduces flux capacity, increases flux dissipation.",,graphics/hullmods/shared_flux_sink.png
Rolling Nines,khedamn90s,1,,KHM,"special, offensive, merc",Special,7500,,,,5,10,15,20,kheTechMod.combat.hullmods.Damn90s,"Superstitiously known as Rolling Nines by those that know of it, this system attaches a meter and flux coils in an abominable manner, resulting in a bonus of %s to venting speed and automatically venting at %s flux, provided the ship is not overloaded. However, these modifications increase overload duration by a factor of %s, though also ensure that it will not exceed %s, hence the name.","Automatic and faster venting, penalized and capped overloads.",,graphics/hullmods/unstable_injector.png
Hardflux Shielding Coils,khehardfluxshield,0,,KHM,"phase, shields, defensive, merc","Phase, Shields",3500,,,,5,10,15,20,kheTechMod.combat.hullmods.HardfluxEMPCoils,"Of questionable safety, this modification utilizes specialized coils to increase EMP resistance by the amount of hardflux in the ship’s systems...but completely prevents any hardflux dissipation while shields are active. The coils also resonate badly with phase coils, making phase cloak upkeep scale proportionally.","EMP resistance, phase cost scaling with hardflux. Disables dissipation.",,graphics/hullmods/damper_field.png
,,,,,,,,,,,,,,,,,,,
Phase-Stasis Coils Model A,khephasestasisa,1,,KHM,phase,Phase,5000,,,,5,10,15,20,kheTechMod.combat.hullmods.PhaseStasisCoilsA,"One of a set of particularly egregious modifications of phase coils which cause a ship to become more firmly anchored in linear time while phased. This variant largely neutralizes the speed penalty of phasing while increasing the upkeep cost by %s.
Pilots may encounter brief disorientation before the system fully engages.","Phase timeflow and speed removed, upkeep increased.",,graphics/hullmods/phase_coils_experimental.png
Phase-Stasis Coils Model B,khephasestasisb,0,,KHM,phase,Phase,5000,,,,5,10,15,20,kheTechMod.combat.hullmods.PhaseStasisCoilsB,"One of a set of particularly egregious modifications of phase coils which cause a ship to become more firmly anchored in linear time while phased. This variant is less taxing to maintain, reducing the upkeep cost by %s.
Pilots may encounter brief disorientation before the system fully engages.","Phase timeflow removed, upkeep decreased.",,graphics/hullmods/phase_coils_experimental.png
Phase-Stasis Coils Model C,khephasestasisc,2,,KHM,phase,Phase,10000,,,,5,10,15,20,kheTechMod.combat.hullmods.PhaseStasisCoilsC,"One of a set of particularly egregious modifications of phase coils which cause a ship to become more firmly anchored in linear time while phased. This variant has %s increased upkeep, and causes much of the ship to become warped as if it were under timeflow.
Pilots may encounter brief disorientation before the system fully engages. Pilots should not, under any circumstances, interact with any versions of themselves they see on board.","Phase timeflow removed abstractly, upkeep increased. ",,graphics/hullmods/phase_coils_experimental.png
,,,,,,,,,,,,,,,,,,,
Buttercup Time Reactor,kheslowtimereactor,3,,KHM,"special, req_spaceport","Requires Dock, Special",15000,,,,2,4,6,10,kheTechMod.combat.hullmods.ButtercupReactor,"A seemingly counter-intuitive temporal reactor with an odd name, the Buttercup is named after the first test subject for the project, a dairy cow, who is still in temporal stasis to this day.
This reactor multiplies the relative timeflow of the ship by %s, multiplies damage taken by %s and multiplies peak performance time by %s.","Timeflow down, damage resistance and peak performance up.","Time Flow multiplied by %s and damage taken from all sources multiplied by %s, instead.",graphics/hullmods/temporal_shell.png
Phase-Quantum Plating,khepeanutarmor,3,,KHM,"defense, req_spaceport","Requires Dock, Defenses",15000,,,,5,10,15,20,kheTechMod.combat.hullmods.PeanutShell,"Nicknamed the Peanut Shell for some reason, this modification uses a nightmarish mix of phase coils and shield emitters to quantum-superimpose extra plating onto the ship.
This multiplies armor and mass by %s, hull, top speed and turn speed by %s, multiplies supply and fuel costs by %s, and disables the Zero-Flux speed boost.
Someone drew a partially crushed skull on the instructions with ZF in the middle of it.","Turns ship into slow, expensive ball of armor",,graphics/hullmods/temporal_shell.png
