id,type,text1,text2,text3,text4,notes,
khe_warped_omega_core,RESOURCE,"This...core, if you can call it that, resembles the imagined drawings of an Omega Core at first, however it is different in many disturbing ways. Chief among them is a deep, intense desire to erase all life that enters the minds of anyone who approaches it. This, in addition to the unceasing stream of unintelligible whispers coming seemingly from nowhere, is enough of a warning that whatever mind occupies it is overtly hostile and very dangerous.",,,,,
kheacausaldisruptor,SHIP_SYSTEM,"Briefly overloads a nearby enemy ship, usable while phased but will force an exit from phase space with twice the normal cooldown. If used against a phased ship, they are overloaded three times as long.
If the normal version is magic, this one is high wizardry...or deep black magic, which is more likely.",Offensive,"If ship is phased, exits phase. Briefly overloads a nearby enemy ship, if phased 3x as long.", usable while phased.,,The overload lasts for {{1}} second.
khe_tesseract,SHIP,"A bizarre seeming-inversion of a familiar foe, twisted with malice and full of hatred. A consequence of delving into phase-space in ways unsafe and dangerous. Now, made to infuriate with impunity.",Unidentified Vessel,"Target appears to be similar to a familiar foe, but...wrong somehow. Very wrong.",,,
khe_facet,SHIP,"A seeming-inversion of a small, familiar foe, hardened with spite and eager to throw its sluggish, unfeeling carapace at its enemies.",Unidentified Vessel,"Target appears to be similar to a familiar foe, but...wrong somehow. Very wrong.",,,
khe_aspect,SHIP,A seeming-inversion of a small foe. Filled with a surprising amount of rage for something so small.,Unidentified Vessel,"Target appears to be similar to a familiar foe, but...wrong somehow. Very wrong.",,,
khewarpedphasecloak,SHIP_SYSTEM,"An esoteric, heavily modifed phase cloak system that takes longer to cool off but accelerates flux dissipation while active. It also discharges hardflux when exiting phase space.",Special,"Moves ship into phase space, like normal phase ships. On exiting, hardflux discharge with longer cooldown and increased flux dissipation.",,,
khe_vanguard,SHIP,"A Vanguard, probably stolen from pirates, that has been heavily modified with experimental hardware and had an ugly splotch of blue paint added. Somehow it still holds together, if only just barely.",Ugly Metal Mass,"A very badly painted Vanguard, with who knows what other modifications.",,,
kheburndrive,SHIP_SYSTEM,A heavily modified Burn Drive that goes faster but takes longer to cool down.,,,,,
khe_onslaught,SHIP,"An Onslaught with a blue coat of paint, modified with experimental hardware.",Familiar Shape But Blue,"A modified Onslaught that was painted blue.",,,
khe_legion,SHIP,"A Legion with a blue coat of paint, modified with experimental hardware.",Familiar Shape But Blue,"A modified Legion that was painted blue.",,,
khe_berserker,SHIP,"A Berserker drone with a blue coat of paint, modified with experimental hardware. The words 'Baby Blue Bifrost' are painted on a side.",Familiar Shape But Blue,"A modified Berserker drone that was painted blue.",,,
